Period,Day-ahead_Price_2015_[EUR/MWh],Emissions_2015_[g/kWh],Day-ahead_Price_2016_[EUR/MWh],Emissions_2016_[g/kWh],Day-ahead_Price_2017_[EUR/MWh],Emissions_2017_[g/kWh],Day-ahead_Price_2018_[EUR/MWh],Emissions_2018_[g/kWh],Day-ahead_Price_2019_[EUR/MWh],Emissions_2019_[g/kWh],Day-ahead_Price_2020_[EUR/MWh],Emissions_2020_[g/kWh],Day-ahead_Price_2021_[EUR/MWh],Emissions_2021_[g/kWh],Day-ahead_Price_2022_[EUR/MWh],Emissions_2022_[g/kWh],Day-ahead_Price_2023_[EUR/MWh],Emissions_2023_[g/kWh],
1,31.83493075,465.632993471096,22.39,463.381392785008,20.96,423.841513859673,-5.27,190.92970593959,28.32,228.46806325591,41.88,380.650742838432,50.87,460.820281920925,50.05,149.436866396697,-5.17,152.305018236847,
2,31.83493075,457.331606220135,20.59,456.454099822403,20.9,425.261903173701,-29.99,188.354598345812,10.07,200.369381189595,38.6,373.869302440693,48.19,466.963212738147,41.33,151.369754041127,-1.07,147.914483797729,
3,31.83493075,449.836081194763,16.81,450.968911775011,18.13,430.494702290749,-56.65,186.116090009199,-4.08,197.567689855737,36.55,361.672673260723,44.68,457.697268125643,43.22,153.543564998707,-1.47,143.338906717104,
4,31.83493075,440.123131971765,17.41,452.01128032424,16.03,430.164018159892,-63.14,180.24224008784,-9.91,193.884495712935,32.32,361.843313958939,42.92,452.034534221718,45.46,156.952344082358,-5.08,148.488260639572,
5,31.83493075,435.151642246253,17.02,448.83731897997,16.43,421.440302183269,-64.62,178.087362065148,-7.41,182.460317886963,30.85,355.767709833362,40.39,467.160115885914,37.67,160.871203338618,-4.49,149.406973976345,
6,31.83493075,417.75739514931,15.86,460.966260552932,13.75,412.127965697473,-67,175.897310147265,-12.55,175.055242443717,30.14,352.87769664893,40.2,475.638491830449,39.7,174.039293128659,-5.4,147.247524421334,
7,31.83493075,402.683579652503,18.16,468.126172070122,11.1,400.650769141336,-72.54,175.463694111531,-17.25,168.23918400143,30.17,355.85370583437,39.63,465.906809931296,40.59,179.416129177516,-5.02,146.733615979869,
8,31.83493075,394.19711975164,17.73,483.339344657464,15.47,406.375262522116,-76.01,175.51138613428,-15.07,165.462652846357,30,367.908159614782,40.09,472.249472891296,43.26,188.873172446747,-1.3,147.838955408622,
9,31.83493075,400.394681651825,19.77,495.953171461502,16.88,408.334728177129,-71.45,174.80686758564,-4.93,163.741347232318,30.65,370.807958240799,41.27,460.694471941711,49.66,200.960740914114,-1.44,150.943098606649,
10,31.83493075,413.617528113462,23.75,489.87414230771,21.81,401.551489182419,-66.88,173.565565530192,-6.33,168.81530959314,30.65,351.994774214767,44.88,446.123099006874,70.05,205.700979161943,-1.09,151.077094740034,
11,31.83493075,406.316059776403,26.03,496.765129380726,26.24,402.921162778861,-62,169.846410403303,-4.93,168.91050389215,30.27,322.014878486752,45,435.487567367043,76.79,210.222976358111,-1.07,149.115822622674,
12,31.83493075,389.698878419464,27.06,504.529583833353,26.42,403.534357210546,-56.08,166.566098540691,0.45,163.99960913091,30.34,304.090761830503,47.2,429.447650872394,84.1,213.19514371853,-1.07,149.806125230158,
13,31.83493075,381.504669950987,26.59,507.270854934595,27.66,405.338481173628,-49.96,164.768204059831,0.12,164.29322807227,30.99,300.83671118098,50.78,434.030899807818,94.74,217.898992050567,-0.79,152.976955350898,
14,31.83493075,378.546492377491,25,517.300843808253,28.7,420.139411455517,-24.29,170.719286724905,-0.02,163.58718629845,30.04,301.625232857675,45.49,444.248832622113,96.8,216.989309057395,-0.27,160.5295353574,
15,31.83493075,389.067693573497,24.43,536.11304675447,29.66,438.901563365571,-5.59,179.212446458231,0,164.845876926418,30.75,336.087354627944,44.73,460.976994363702,97.17,238.302088917934,0.85,157.913096471911,
16,31.83493075,404.242992728184,28.87,549.497015810577,35.33,467.134989009895,0.23,202.09554047583,-0.03,166.313678502581,32.11,377.110881279308,46.59,460.045218838241,101,282.558275426342,23.53,160.106219658168,
