Periode,Datum,Uhrzeit,Day-Ahead_Strompreis[EUR/MWh]
1,01.01.2023,00:00 - 01:00,-5.17
2,01.01.2023,01:00 - 02:00,-1.07
3,01.01.2023,02:00 - 03:00,-1.47
4,01.01.2023,03:00 - 04:00,-5.08
5,01.01.2023,04:00 - 05:00,-4.49
6,01.01.2023,05:00 - 06:00,-5.4
7,01.01.2023,06:00 - 07:00,-5.02
8,01.01.2023,07:00 - 08:00,-1.3
9,01.01.2023,08:00 - 09:00,-1.44
10,01.01.2023,09:00 - 10:00,-1.09
11,01.01.2023,10:00 - 11:00,-1.07
12,01.01.2023,11:00 - 12:00,-1.07
13,01.01.2023,12:00 - 13:00,-0.79
14,01.01.2023,13:00 - 14:00,-0.27
15,01.01.2023,14:00 - 15:00,0.85
16,01.01.2023,15:00 - 16:00,23.53
17,01.01.2023,16:00 - 17:00,36.54
18,01.01.2023,17:00 - 18:00,46.03
19,01.01.2023,18:00 - 19:00,55.57
20,01.01.2023,19:00 - 20:00,54.95
21,01.01.2023,20:00 - 21:00,49.23
22,01.01.2023,21:00 - 22:00,44.99
23,01.01.2023,22:00 - 23:00,45.96
24,01.01.2023,23:00 - 00:00,35
25,02.01.2023,00:00 - 01:00,57.91
26,02.01.2023,01:00 - 02:00,51.67
27,02.01.2023,02:00 - 03:00,52.93
28,02.01.2023,03:00 - 04:00,44.09
29,02.01.2023,04:00 - 05:00,50.08
30,02.01.2023,05:00 - 06:00,69.72
31,02.01.2023,06:00 - 07:00,105.08
32,02.01.2023,07:00 - 08:00,140.64
33,02.01.2023,08:00 - 09:00,145.98
34,02.01.2023,09:00 - 10:00,147.05
35,02.01.2023,10:00 - 11:00,145.61
36,02.01.2023,11:00 - 12:00,143.35
37,02.01.2023,12:00 - 13:00,144.38
38,02.01.2023,13:00 - 14:00,143.76
39,02.01.2023,14:00 - 15:00,148.2
40,02.01.2023,15:00 - 16:00,155.34
41,02.01.2023,16:00 - 17:00,162.89
42,02.01.2023,17:00 - 18:00,170
43,02.01.2023,18:00 - 19:00,174.74
44,02.01.2023,19:00 - 20:00,164.46
45,02.01.2023,20:00 - 21:00,153
46,02.01.2023,21:00 - 22:00,141.67
47,02.01.2023,22:00 - 23:00,134.91
48,02.01.2023,23:00 - 00:00,124.22
49,03.01.2023,00:00 - 01:00,130.01
50,03.01.2023,01:00 - 02:00,120
